Id,Label,timeset,genres,followers,related artist,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,modularity_class,componentnumber,strongcompnum,clustering
257,Lele Pons,,"['latin pop', 'viral pop']",831351,"Becky G, ROSALÍA, Natti Natasha",8,0.30303,0.384196,589,2,3,5,100,0,35,0.166667
258,Leona Lewis,,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",2951500,Kelly Clarkson,1,1,1,4.574128,4,1,5,87,0,21,0.25
259,Lewis Capaldi,,"['pop', 'uk pop']",8657230,"James Arthur, Dean Lewis, JP Saxe",13,0.149613,0.186796,1710.619467,4,3,7,72,0,41,0.35
260,Liam Payne,,"['dance pop', 'pop', 'post-teen pop']",8334831,"One Direction, Niall Horan, ZAYN, Shawn Mendes, Harry Styles, Camila Cabello, 5 Seconds of Summer",11,0.201389,0.260249,193.10294,11,7,18,87,0,41,0.4
261,Lil Baby,,"['atl hip hop', 'atl trap', 'rap', 'trap']",8321290,"G Herbo, Roddy Ricch, Gunna, Lil Yachty, 21 Savage, NAV, Pooh Shiesty",17,0.111969,0.182312,501.107877,5,7,12,66,0,41,0.305556
262,Lil Mosey,,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",3970785,"Cordae, NAV, Lil Tecca, iann dior, YNW Melly, Tyla Yaweh",15,0.136685,0.204829,4711.782858,18,6,24,66,0,41,0.236842
263,Lil Nas X,,"['lgbtq+ hip hop', 'pop']",6576617,"Cardi B, Megan Thee Stallion, DaBaby, Cordae, Don Toliver, Jack Harlow, Trevor Daniel, Internet Money, benny blanco, Lil Tecca, Lil Mosey, The Kid LAROI, Tyla Yaweh, Ashnikko",13,0.197002,0.29892,0,0,14,14,66,0,223,0.153846
264,Lil Peep,,"['emo rap', 'lgbtq+ hip hop']",7881475,,0,0,0,0,0,0,0,47,55,224,0
265,Lil Tecca,,"['melodic rap', 'rap', 'trap']",4275478,"Roddy Ricch, Lil Tjay, DaBaby, Cordae, Trippie Redd, Polo G, Internet Money, Lil Mosey, YNW Melly, NAV",16,0.123755,0.20544,2696.658369,14,10,24,66,0,41,0.3
266,Lil Tjay,,"['brooklyn drill', 'melodic rap', 'nyc rap']",3862003,"Roddy Ricch, A Boogie Wit da Hoodie, DDG, Lil Tecca, Lil Mosey, YNW Melly, Sleepy Hallow",16,0.122708,0.190306,145.439087,5,7,12,66,0,41,0.344444
267,Lil Uzi Vert,,"['melodic rap', 'philly rap', 'rap', 'trap']",12101477,"Trippie Redd, Don Toliver, Lil Yachty, Gunna, NAV, Playboi Carti",17,0.111324,0.17465,198.843758,9,6,15,66,0,41,0.234848
268,Lil Wayne,,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",10903447,"Meek Mill, French Montana, Big Sean",17,0.116779,0.156323,0,2,3,5,32,0,41,0.6
269,Lil Yachty,,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'viral rap']",7481566,NAV,18,0.100462,0.136927,864.006061,17,1,18,66,0,41,0.139706
270,Linkin Park,,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",20072933,,0,0,0,0,0,0,0,48,56,225,0
271,Little Mix,,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",9583377,"ZAYN, Leona Lewis, Camila Cabello, Liam Payne, Demi Lovato",11,0.200461,0.252436,149.062313,2,5,7,87,0,41,0.380952
272,Lizzo,,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",4122226,"Normani, Saweetie, Megan Thee Stallion, Cardi B",24,0.071828,0.108707,0,1,4,5,16,0,114,0.5
273,Logic,,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",5505659,"Big Sean, G-Eazy, Bas, Joyner Lucas",16,0.131403,0.182207,39.964794,1,4,5,32,0,171,0.166667
274,Lorde,,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",8389774,"BØRNS, MARINA",13,0.137549,0.162189,320.675175,8,2,10,87,0,41,0.188889
275,Los Legendarios,,"['reggaeton', 'trap latino']",47211,Milly,1,1,1,0,0,1,1,100,0,226,0
276,Luan Santana,,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",5565362,"Gusttavo Lima, Jorge & Mateus",1,1,1,0,2,2,4,49,43,178,1
277,Luciano,,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']",669436,,0,0,0,0,0,0,0,50,57,227,0
278,Luke Combs,,"['contemporary country', 'country']",5588175,"Kane Brown, Morgan Wallen, Dan + Shay",1,1,1,0,3,3,6,57,31,133,1
279,Lunay,,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",5262623,"Alex Rose, Nio Garcia, Yandel, Myke Towers, Rvssian, Anuel AA, Kevin Roldan, Jhay Cortez, Ozuna, Tainy",8,0.324074,0.513844,1119.343801,18,10,28,100,0,32,0.342105
280,Luísa Sonza,,"['funk carioca', 'pop nacional']",2069095,"Anitta, PEDRO SAMPAIO",2,0.75,0.833333,5,2,2,4,90,8,61,0
281,MARINA,,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",3042038,"Mother Mother, Melanie Martinez",12,0.158759,0.191225,201.723389,5,2,7,87,0,41,0.2
282,MAX,,"['dance pop', 'pop']",4212713,"Bebe Rexha, Mabel, Clean Bandit, Anne-Marie, Sabrina Carpenter, Madison Beer, Ellie Goulding, Camila Cabello",11,0.2,0.260824,1928.270835,2,8,10,87,0,41,0.266667
283,MC Kevin o Chris,,"['funk 150 bpm', 'funk carioca']",2788848,"Niack, PEDRO SAMPAIO",3,0.555556,0.666667,0,0,2,2,90,8,228,0
284,MC Zaquin,,"['funk bh', 'funk carioca']",163592,Niack,1,1,1,0,0,1,1,90,8,229,0
285,MEDUZA,,"['edm', 'pop dance', 'pop house', 'tropical house']",450850,"twocolors, Topic, Regard",1,1,1,0,0,3,3,92,0,230,0.833333
286,MYA,,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']",1022115,,0,0,0,0,3,0,3,100,0,27,0.166667
287,Mabel,,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",1425814,"Anne-Marie, Ava Max",12,0.168932,0.204288,352.970635,8,2,10,87,0,41,0.357143
288,Mac Miller,,"['hip hop', 'pittsburgh rap', 'rap']",6392312,"Childish Gambino, Kid Cudi, BROCKHAMPTON, Kendrick Lamar, Bas",16,0.124567,0.169269,117.166667,3,5,8,32,0,88,0.333333
289,Machine Gun Kelly,,"['ohio hip hop', 'pop rap']",4027242,"iann dior, jxdn",15,0.132777,0.171087,0,0,2,2,66,0,231,1
290,Macklemore & Ryan Lewis,,"['pop rap', 'seattle hip hop']",2562102,Gym Class Heroes,2,0.666667,0.75,0,0,1,1,72,0,232,0
291,Madame,,['otacore'],41432,,0,0,0,0,1,0,1,66,0,233,0
292,Madison Beer,,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",3694140,"Tate McRae, Bazzi, Bea Miller, Camila Cabello",10,0.214286,0.261207,6995.39302,18,4,22,87,0,41,0.176471
293,Maes,,['modern rock'],322121,,0,0,0,0,3,0,3,6,11,70,0.666667
294,Majestic,,"['house', 'pop dance', 'uk dance']",34868,,0,0,0,0,1,0,1,70,58,234,0
295,Major Lazer,,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",6242696,"DJ Snake, Galantis",2,0.75,0.833333,8,2,2,4,72,0,53,0.166667
296,Malu,,"['latin', 'reggaeton', 'reggaeton colombiano']",27619842,"Nio Garcia, Manuel Turizo, Piso 21, J Balvin, Sebastian Yatra, Natti Natasha, Cali Y El Dandee, Ozuna, Kevin Roldan",6,0.455696,0.572685,36,1,9,10,100,0,235,0.266667
297,Maluma,,"['latin', 'reggaeton', 'reggaeton colombiano']",27619842,"Nio Garcia, Manuel Turizo, Piso 21, J Balvin, Sebastian Yatra, Natti Natasha, Cali Y El Dandee, Ozuna, Kevin Roldan",6,0.454545,0.574762,257.878533,2,9,11,100,0,32,0.333333
298,Manuel Turizo,,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",8225523,"Nio Garcia, Rvssian, KAROL G, Piso 21, Wisin, Sebastian Yatra, Ozuna, Lunay",6,0.426829,0.54381,765.752546,13,8,21,100,0,32,0.233333
299,Marc Seguí,,['spanish pop'],54509,,0,0,0,0,1,0,1,100,0,33,0
300,Mari Fernandez,,"['forro', 'sertanejo pop']",28142,"Jonas Esticado, Matheus Fernandes",5,0.375,0.547222,0,4,2,6,51,34,138,0.55
301,Mariah Carey,,"['dance pop', 'pop', 'r&b', 'urban contemporary']",7054602,,0,0,0,0,0,0,0,52,59,236,0
302,Maroon 5,,"['pop', 'pop rock']",33154220,"Clean Bandit, Jonas Brothers, Shawn Mendes, Kelly Clarkson, OneRepublic, Jason Derulo, Jason Mraz",11,0.202561,0.263547,1681.572283,3,7,10,87,0,41,0.041667
303,Marshmello,,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",32122154,"Kygo, benny blanco, Galantis, The Chainsmokers",13,0.170664,0.218139,0,1,4,5,72,0,55,0.416667
304,Martin Garrix,,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",15100642,,0,0,0,0,3,0,3,72,0,54,0
305,Masked Wolf,,['australian hip hop'],439460,"Arizona Zervas, Tyla Yaweh",16,0.119781,0.156362,0,0,2,2,66,0,237,0.5
306,Master KG,,['south african house'],258653,,0,0,0,0,0,0,0,53,60,238,0
307,Matheus Fernandes,,['sertanejo pop'],115617,"Jonas Esticado, Mari Fernandez",5,0.375,0.547222,5,5,2,7,51,34,138,0.5
308,Matthew Wilder,,['new wave pop'],30973,Wham!,1,1,1,0,0,1,1,97,9,239,0
309,Matuê,,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']",3564903,,0,0,0,0,0,0,0,54,61,240,0
310,Mc Davi,,"['funk carioca', 'funk ostentacao', 'funk paulista']",2684192,,0,0,0,0,0,0,0,55,62,241,0
311,Mc Poze do Rodo,,['funk carioca'],668365,Kawe,1,1,1,0,0,1,1,56,54,242,0
312,Mc Zaac,,"['funk carioca', 'funk pop']",1567313,,0,0,0,0,2,0,2,90,8,60,0
313,Meek Mill,,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",5417274,"Tory Lanez, French Montana, Big Sean",17,0.117568,0.160298,1089.890958,12,3,15,32,0,41,0.189394
314,Megan Thee Stallion,,"['houston rap', 'pop', 'trap queen']",5176892,"BIA, Cardi B, Normani",24,0.071799,0.105929,184,5,3,8,16,0,114,0.309524
315,Meghan Trainor,,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",10758834,"Becky G, Ariana Grande, Sam Smith, Shawn Mendes, Maroon 5, Selena Gomez, 5 Seconds of Summer",11,0.231383,0.306169,9974.005043,8,7,15,87,0,41,0.120879
316,Melanie Martinez,,"['alt z', 'electropop', 'pop']",11367462,"Lorde, Mother Mother, MARINA, Halsey, Madison Beer, Conan Gray, Bea Miller",11,0.188108,0.245651,764.781481,4,7,11,87,0,41,0.222222
317,Michael Bublé,,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",4759441,"Nat King Cole, Perry Como, Andy Williams, Tony Bennett, Frank Sinatra, Dean Martin",2,0.75,0.833333,0,0,6,6,97,9,243,0.466667
318,Michael Jackson,,"['pop', 'r&b', 'soul']",19940510,"Stevie Wonder, The Jackson 5, Wham!",1,1,1,0,0,3,3,97,9,246,0.166667
319,Migos,,"['atl hip hop', 'pop rap', 'rap', 'trap']",11804241,"Gunna, Lil Yachty, Lil Baby, Lil Uzi Vert, A$AP Ferg, 21 Savage, NAV",18,0.101993,0.167332,372.585714,5,7,12,66,0,41,0.277778
320,Migrantes,,['cumbia pop'],125420,,0,0,0,0,2,0,2,100,0,28,0.5
321,Miksu / Macloud,,['german hip hop'],32741,"Zuna, KALIM",2,0.75,0.833333,2,2,2,4,10,2,7,0.166667
322,Miley Cyrus,,"['dance pop', 'pop', 'post-teen pop']",16217493,"Jonas Brothers, Kelly Clarkson, Camila Cabello, Selena Gomez, Demi Lovato, Britney Spears",11,0.201622,0.257417,2255.409046,9,6,15,87,0,41,0.219697
323,Milly,,['boston hip hop'],17511,,0,0,0,0,5,0,5,100,0,153,0.15
324,Mimi Webb,,"['alt z', 'pop', 'uk pop']",155615,,0,0,0,0,2,0,2,72,0,148,0
325,Money Man,,"['memphis hip hop', 'rap', 'southern hip hop', 'trap']",362421,,0,0,0,0,2,0,2,66,0,10,0
326,Mora,,"['reggaeton', 'trap latino']",177810,"Rvssian, Dímelo Flow, Harry Nach, Tainy",9,0.277419,0.389323,7.041792,2,4,6,100,0,188,0.166667
327,Morgan Wallen,,['contemporary country'],2324925,"Luke Combs, Kane Brown, Dan + Shay",1,1,1,0,3,3,6,57,31,133,1
328,Mother Mother,,['vancouver indie'],2245283,Beach Bunny,16,0.096936,0.109756,12.922619,3,1,4,87,0,41,0.25
329,Murda,,"['canadian hip hop', 'canadian trap']",121451,Lil Yachty,19,0.091767,0.118516,0,0,1,1,66,0,247,0
330,Mustard,,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",897594,"Ty Dolla $ign, French Montana",18,0.112767,0.156315,28,3,2,5,32,0,41,0.166667
331,Myke Towers,,['trap latino'],6714396,"Alex Rose, Nio Garcia, Lunay, Rvssian, Anuel AA, Rauw Alejandro, Jhay Cortez, Kevin Roldan, Dalex",8,0.307018,0.478129,268.137777,11,9,20,100,0,32,0.537879
332,Mykola Dmytrovych Leontovych,,"['post-romantic era', 'ukrainian classical']",2421,,0,0,0,0,0,0,0,58,63,248,0
333,Måneskin,,"['indie rock italiano', 'italian pop']",4124801,"Francesca Michielin, Fedez",1,1,1,0,0,2,2,59,20,249,0
334,NAV,,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",2686699,"Don Toliver, Lil Yachty, Gunna, Lil Tecca, 21 Savage",17,0.11161,0.175607,2416.383731,27,5,32,66,0,41,0.183761
335,NF,,"['hip hop', 'pop rap', 'rap']",6063618,"Arizona Zervas, Joyner Lucas",16,0.115637,0.140694,0,0,2,2,32,0,250,0
336,NLE Choppa,,['memphis hip hop'],3551267,DDG,20,0.084139,0.107152,1.370635,1,1,2,66,0,41,0
337,Nat King Cole,,"['adult standards', 'lounge', 'soul', 'vocal jazz']",1669259,"Andy Williams, Perry Como, Dean Martin, Bing Crosby",2,0.75,0.833333,0.333333,3,4,7,97,9,137,0.5
338,Natalie Taylor,,[],123256,"Dean Lewis, JP Saxe",14,0.1235,0.15148,0,0,2,2,72,0,251,0.5
339,Nathan Evans,,[],157697,,0,0,0,0,0,0,0,60,64,252,0
340,Natti Natasha,,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",6617829,"Yandel, Manuel Turizo, KAROL G, Anuel AA, Farruko, Tainy, Justin Quiles, Ozuna, Lunay",7,0.393258,0.542653,1111.128864,5,9,14,100,0,32,0.186813
341,Nea,,"['scandipop', 'swedish pop']",39310,,0,0,0,0,1,0,1,72,0,147,0
342,Nelly Furtado,,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",2773109,"Black Eyed Peas, Kylie Minogue, Justin Timberlake, Gwen Stefani, Britney Spears",13,0.147084,0.186472,598.75,4,5,9,87,0,41,0.45
343,Niack,,['funk carioca'],356870,,0,0,0,0,4,0,4,90,8,139,0
344,Niall Horan,,"['dance pop', 'pop', 'post-teen pop']",7763939,"One Direction, Jonas Brothers, Anne-Marie, ZAYN, Shawn Mendes, Harry Styles, Liam Payne, 5 Seconds of Summer",11,0.202326,0.265517,2230.432751,14,8,22,87,0,41,0.261905
345,Nicki Minaj,,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",22687291,"BIA, Cardi B, Megan Thee Stallion, Kehlani, Jhené Aiko, Normani",22,0.083179,0.132999,434.833333,2,6,8,16,0,114,0.238095
