Source,Target,Type,Weight
Drake,DJ Khaled,Undirected,1
Drake,Meek Mill,Undirected,1
Dream,Bas,Undirected,1
Dream,Cordae,Undirected,1
Dua Lipa,Mabel,Undirected,1
Dua Lipa,Ava Max,Undirected,1
Dua Lipa,Sia,Undirected,1
Dua Lipa,Ellie Goulding,Undirected,1
Dua Lipa,Miley Cyrus,Undirected,1
Dua Lipa,Demi Lovato,Undirected,1
Dua Lipa,Camila Cabello,Undirected,1
Dua Lipa,Anne-Marie,Undirected,1
Dua Lipa,Selena Gomez,Undirected,1
Dua Lipa,ZAYN,Undirected,1
Dua Lipa,Halsey,Undirected,1
Dua Lipa,Madison Beer,Undirected,1
Duncan Laurence,Sam Fischer,Undirected,1
Duncan Laurence,BANNERS,Undirected,1
Duncan Laurence,Dean Lewis,Undirected,1
Duncan Laurence,Zoe Wees,Undirected,1
Duncan Laurence,Sara Kays,Undirected,1
Dímelo Flow,Rvssian,Undirected,1
Dímelo Flow,Rich Music LTD,Undirected,1
Dímelo Flow,Milly,Undirected,1
Dímelo Flow,Jerry Di,Undirected,1
Ed Sheeran,James Arthur,Undirected,1
Ed Sheeran,Lewis Capaldi,Undirected,1
Ed Sheeran,Camila Cabello,Undirected,1
Ed Sheeran,Meghan Trainor,Undirected,1
Ed Sheeran,Niall Horan,Undirected,1
Ed Sheeran,Justin Bieber,Undirected,1
Ed Sheeran,ZAYN,Undirected,1
Ed Sheeran,Sam Smith,Undirected,1
Ed Sheeran,Shawn Mendes,Undirected,1
Ed Sheeran,Liam Payne,Undirected,1
El Alfa,Rvssian,Undirected,1
Ellie Goulding,Mabel,Undirected,1
Ellie Goulding,Bebe Rexha,Undirected,1
Ellie Goulding,Camila Cabello,Undirected,1
Ellie Goulding,Anne-Marie,Undirected,1
Ellie Goulding,Clean Bandit,Undirected,1
Ellie Goulding,Bea Miller,Undirected,1
Elton John,Daryl Hall & John Oates,Undirected,1
Elton John,Eagles,Undirected,1
Elvis Presley,Chuck Berry,Undirected,1
Emilia,Migrantes,Undirected,1
Emilia,MYA,Undirected,1
Emilia,Rusherking,Undirected,1
Eminem,DMX,Undirected,1
Eminem,Joyner Lucas,Undirected,1
Farruko,Nicky Jam,Undirected,1
Farruko,Jowell & Randy,Undirected,1
Farruko,Arcangel,Undirected,1
Farruko,Wisin,Undirected,1
Farruko,Yandel,Undirected,1
Feid,Jerry Di,Undirected,1
Feid,Alex Rose,Undirected,1
Feid,Manuel Turizo,Undirected,1
Feid,Lunay,Undirected,1
Feid,Kevin Roldan,Undirected,1
Feid,Dímelo Flow,Undirected,1
Feid,Rvssian,Undirected,1
Feid,Tainy,Undirected,1
Fleetwood Mac,Daryl Hall & John Oates,Undirected,1
Fleetwood Mac,Eagles,Undirected,1
Frank Sinatra,Nat King Cole,Undirected,1
Frank Sinatra,Tony Bennett,Undirected,1
Frank Sinatra,Perry Como,Undirected,1
Frank Sinatra,Andy Williams,Undirected,1
Frank Sinatra,Bing Crosby,Undirected,1
Frank Sinatra,Dean Martin,Undirected,1
French Montana,Meek Mill,Undirected,1
Future,21 Savage,Undirected,1
Future,Gunna,Undirected,1
Future,NAV,Undirected,1
Future,French Montana,Undirected,1
Future,Lil Yachty,Undirected,1
Future,Meek Mill,Undirected,1
G-Eazy,Ty Dolla $ign,Undirected,1
G-Eazy,Joyner Lucas,Undirected,1
G-Eazy,Tyla Yaweh,Undirected,1
G-Eazy,Logic,Undirected,1
G-Eazy,French Montana,Undirected,1
Galantis,Sam Feldt,Undirected,1
Gambi,BROCKHAMPTON,Undirected,1
Gambi,Kid Cudi,Undirected,1
Gambi,Kendrick Lamar,Undirected,1
Gambi,Mac Miller,Undirected,1
Giveon,Bryson Tiller,Undirected,1
Giveon,PARTYNEXTDOOR,Undirected,1
Giveon,Brent Faiyaz,Undirected,1
Gjon's Tears,Daði Freyr,Undirected,1
Gjon's Tears,Go_A,Undirected,1
Gjon's Tears,Barbara Pravi,Undirected,1
Go_A,Gjon's Tears,Undirected,1
Go_A,Daði Freyr,Undirected,1
Gradur,Ninho,Undirected,1
Gradur,Maes,Undirected,1
Gunna,Lil Uzi Vert,Undirected,1
Gunna,21 Savage,Undirected,1
Gunna,Lil Baby,Undirected,1
Gunna,Don Toliver,Undirected,1
Gunna,NAV,Undirected,1
Gunna,Roddy Ricch,Undirected,1
Gusttavo Lima,Luan Santana,Undirected,1
Gusttavo Lima,Jorge & Mateus,Undirected,1
Gwen Stefani,Nelly Furtado,Undirected,1
Gwen Stefani,Kylie Minogue,Undirected,1
Gwen Stefani,Britney Spears,Undirected,1
Gym Class Heroes,Panic! At The Disco,Undirected,1
Gzuz,Bonez MC,Undirected,1
Gzuz,187 Strassenbande,Undirected,1
Gzuz,KC Rebell,Undirected,1
Gzuz,KALIM,Undirected,1
H.E.R.,Kehlani,Undirected,1
H.E.R.,SZA,Undirected,1
H.E.R.,Brent Faiyaz,Undirected,1
Halsey,Lorde,Undirected,1
Halsey,Ellie Goulding,Undirected,1
Halsey,Demi Lovato,Undirected,1
Halsey,Camila Cabello,Undirected,1
Halsey,Selena Gomez,Undirected,1
Halsey,Melanie Martinez,Undirected,1
Halsey,Madison Beer,Undirected,1
Halsey,Bea Miller,Undirected,1
Harry Styles,Lorde,Undirected,1
Harry Styles,5 Seconds of Summer,Undirected,1
Harry Styles,The 1975,Undirected,1
Harry Styles,One Direction,Undirected,1
Harry Styles,Conan Gray,Undirected,1
Harry Styles,ZAYN,Undirected,1
Harry Styles,Niall Horan,Undirected,1
Harry Styles,Jonas Brothers,Undirected,1
Harry Styles,Shawn Mendes,Undirected,1
Harry Styles,Halsey,Undirected,1
Harry Styles,Liam Payne,Undirected,1
Henrique & Juliano,Jonas Esticado,Undirected,1
Henrique & Juliano,Israel & Rodolffo,Undirected,1
Henrique & Juliano,Diego & Victor Hugo,Undirected,1
Hozier,Vance Joy,Undirected,1
Hozier,BØRNS,Undirected,1
Imagine Dragons,Twenty One Pilots,Undirected,1
Imagine Dragons,BANNERS,Undirected,1
Imagine Dragons,OneRepublic,Undirected,1
Ingratax,Sech,Undirected,1
Ingratax,Rusherking,Undirected,1
Ingratax,Cali Y El Dandee,Undirected,1
Ingratax,Manuel Turizo,Undirected,1
Ingratax,Boza,Undirected,1
Ingratax,MYA,Undirected,1
Ingratax,Jay Wheeler,Undirected,1
Ingratax,Mora,Undirected,1
Ingratax,Justin Quiles,Undirected,1
Ingratax,Nio Garcia,Undirected,1
Internet Money,Tyla Yaweh,Undirected,1
Internet Money,iann dior,Undirected,1
Internet Money,Don Toliver,Undirected,1
Internet Money,DDG,Undirected,1
Internet Money,Lil Tecca,Undirected,1
Internet Money,NAV,Undirected,1
Internet Money,Lil Mosey,Undirected,1
Internet Money,Lil Yachty,Undirected,1
Israel & Rodolffo,Henrique & Juliano,Undirected,1
Israel & Rodolffo,Diego & Victor Hugo,Undirected,1
J Balvin,Ozuna,Undirected,1
J Balvin,Nicky Jam,Undirected,1
J Balvin,Cali Y El Dandee,Undirected,1
J Balvin,Manuel Turizo,Undirected,1
J Balvin,Maluma,Undirected,1
